title,img,英文名称,批准文号,主要规格,用途,产品说明
灭菌注射用水,http://img1.pharmnet.com.cn/suppliers/product_cn/690220_1.gif,STERILE WATER FOR INJECTION,国药准字H20059617 国药准字H20059618,2mlx10支 10mlx5支,注射用灭菌粉末的溶剂或注射液的稀释剂或各科内腔镜冲洗剂。,
复方维生素注射液,http://img1.pharmnet.com.cn/suppliers/product_cn/690214_1.jpg,Compound vitamin injection,国药准字H20067070,2ml,维生素类药，适用于不能经消化道正常进食的病人，维生素A、D2、E、K1的肠外补充,
单硝酸异山梨酯片,http://img1.pharmnet.com.cn/suppliers/product_cn/1672446_1.jpg,Isosorbide Mononitrate Tablets,国药准字H20074036,每板15片，每盒4板,冠心病的长期治疗；心绞痛的预防；心肌梗死后持续心绞痛的治疗；与洋地黄和/或利尿剂联合应用，治疗慢性充血性心力衰竭。,[药品名称]通用名称：单硝酸异山梨酯片汉语拼音：DanxiaosuanYishanlizhiPian英文名称：IsosorbideMononitrateTablets[成份]本品主要组成成份为单硝酸异山梨酯。[性状]本品为白色片[适应症]冠心病的长期治疗；心绞痛的预防；心肌梗死后持续心绞痛的治疗；与洋地黄和/或利尿剂联合应用，治疗慢性充血性心力衰竭。[规格]20毫克[用法用量]一次20毫克，一日2次，或遵医嘱。[不良反应]常见的不良反应为头痛（>10%的病人），通常持续使用后头痛症状会逐渐消失。治疗初期或增加剂量时，会出现低血压或/和头晕（1-10%），还会伴有眩晕，瞌睡，反射性心动过速和乏力。偶见（<1%）恶心，呕吐，面部潮红，皮肤过敏（如皮疹），此种症状有时可能会较严重。罕见剥脱性皮炎。对于有机硝酸盐严重的低血压反应已有报道，包括恶心、呕吐、不安、苍白和出汗。罕见虚脱（有时伴随心律失常和昏厥）。严重的低血压加重心绞痛的现象也较罕见。用本品治疗期间，由于血液重新分布而流入换气不足的肺泡区域可能出现短暂的血氧过低。几例关于胃痛的现象可能是由于硝酸盐类物质能松弛括约肌的原因。[禁忌]下列情况禁用本品:对单硝酸异山梨酯或其他组分过敏、急性循环衰竭（休克、虚脱）、心源性休克（除非有适当措施维持足够的舒张末期压力）、肥厚梗阻型心肌病、缩窄型心包炎或心包填塞、严重低血压（收缩压低于90mmHg）、颅内压增高者、严重贫血症者、青光眼患者、用硝酸酯类治疗期间，不可使用西地那非。[注意事项]1.本品不适合治疗急性发作的心绞痛。2.在下列情况下使用本品应十分注意，并在医生指导下使用：低充盈压患者，例如急性心肌梗死，左心衰竭；主动脉和/或二尖瓣狭窄患者；伴有颅内压增高的疾病；直立性低血压。3.少数患者可能对硝酸盐产生特异反应，例如产生昏厥。4.患有严重的大脑多发性硬化症者，使用本品应极度谨慎。5.长期用药可出现耐受性，尤其在单硝酸异山梨酯的血药浓度高且稳定时更是如此，因此建议将剂量保持在最低水平，并且服用当日最后一剂时，其时间不应迟于晚饭时间。6.治疗期间应避免饮酒，否则会使本品扩血管作用增强。7.本品会影响患者驾驶或机械操作的反应速度。8.在使用本品期间，不可服用西地那非。[贮藏]遮光，密封（10-30℃）保存。[包装]铝塑板包装，每板15片，每盒4板[有效期]24个月[执行标准]WS1-(X-016)-2004Z[批准文号]国药准字H20074036
曲克芦丁注射液,http://img1.pharmnet.com.cn/suppliers/product_cn/643671_1.jpg,Vitamin A Soft Capsules,国药准字H20056172,10ml:0.3g,用于缺血性脑血管病脑血栓形成、脑栓塞所致脑梗死、中心性视网膜炎、动脉硬化、冠心病、血栓性静脉炎、静脉曲张、慢性静脉功能不全等,本品主要成份为曲克芦丁，化学名称：7，3’，4’-三羟乙基芦丁，用氯化钠调节等渗。
辛伐他汀片,http://img1.pharmnet.com.cn/suppliers/product_cn/1672445_1.jpg,SIMVASTATIN TABLETS,国药准字H20083382,12片/板,1.高脂血症:(1)对于原发性高胆固醇血症、杂合子家族性高胆固醇血症或混合性高胆固醇血症的患者，当饮食控制及其他非药物治疗不理想时，辛伐他汀可用于降低升高的总胆固醇、低密度脂蛋白胆固醇、载脂蛋白B和甘油三脂。且辛伐他汀升高高密度脂蛋白胆固醇，从而降低低密度脂蛋白/高密度脂蛋白和总胆固醇/高密度脂蛋白的比率。(2)对于纯合子家族性高胆固醇血症患者，当饮食控制及非饮食疗法不理想时，辛伐他汀可用于降低升高的总胆固醇、低密度脂蛋白胆固醇和载脂蛋白B。2.冠心病。对冠心病患,"【药品名称】通用名称：辛伐他汀片英文名称：SIMVASTATINTABLETS汉语拼音：XINFATADINGPIAN化学名称：[IS-{1α,3β,7β,8β,（2S*,4S*）,8aβ}]-2,2-二甲基丁酸-1,2,3,7【成份】辛伐他汀。【性状】薄膜衣片，除去薄膜衣后显白色或类白色。【适应症】高胆固醇血症:对于原发性高胆固醇血症患者．当饮食控制及其他非药物治疗不理想时．可予辛伐他汀治疗。辛伐他汀不但可降低总胆固醇、低密度脂蛋白胆固醇、载脂蛋白和甘油三脂，而且可升高高密度脂蛋白胆固醇．从而降低低密度脂蛋白胆固醇／高密度脂蛋白胆固醇及总胆固醇／高密度脂蛋白胆固醇的比率.在高胆固醇血症和高甘油三脂血症并存而以高胆固醇血症为主的患者.辛伐他汀可降低胆固醇水平。冠心病:对于冠心病合并高胆固醇血症的患者．辛伐他汀适用于：降低死亡的危险性;降低冠心病死亡及非致死性心肌梗塞的危险性;降低因冠脉事件需要进行心肌血管再通手术(冠状动脉搭桥术及经皮气囊冠状动脉成形术)的几率;延缓冠状动脉粥样硬化的进程．包括减少新病灶及全堵塞的形成。【规格】10mg【用法用量】病人在接受辛伐他汀治疗以前应接受标准降胆固醇饮食并在治疗过程中继续维持。1．高胆固醇血症：一般起始剂量为每天10mg．晚间顿服。对于胆固醇水平轻至中度升高的患者．起始剂量为每天5mg。若需调整剂量．应间隔四周以上．最大剂量为每天40mg间顿服。应定期监测胆固醇水平．如果胆固醇水平明显低于目标范围．应考虑减少辛伐他汀的剂量。2．冠心病：冠心病患者可以20mg／日为起始剂量．如需调整剂量．应间隔四周以上．最大剂量为每天40mg晚间顿服。3．合并用药：辛伐他汀单独应用或与胆酸螯合剂协同应用时均有效。一般情况下应避免与贝特类或烟酸类药物同时应用。同时服用免疫抑制剂(如环孢菌素)的患者．辛伐汀的起始剂量应为5mg／天．且不超过10mg／天。4．肾功能不全的病人：由于辛伐他汀主要经胆汁排泄．经肾脏排泄的量很少．故中度肾功能不全病人不必调整剂量。严重肾功能不全(肌酐清除率<30ml／分)的患者应慎用本品．此类人的起始剂量应为5mg／天．当剂量超过l0mg／天时．应严密监测。【不良反应】详见说明书。【禁忌】详见说明书。【注意事项】详见说明书。【贮藏】遮光，密封，在干燥（10~30℃）处保存。【包装】铝塑板包装，12片/板，1板/盒。【有效期】24个月。【执行标准】中国药典2005年版二部【批准文号】国药准字H20083382"
养阴清肺糖浆,http://img1.pharmnet.com.cn/suppliers/product_cn/1674411_1.JPG,,国药准字Z20023105,每支10毫升,养阴清肺，清热利咽。用于咽喉干燥疼痛，干咳、少痰或无痰,【商标/商品名】养阴清肺糖浆【批准文号】国药准字Z20023105【产品类型】中药产品-养阴清肺，清热利咽【剂型】糖浆剂【规格】每支10毫升【成份】地黄、玄参、麦冬、甘草、牡丹皮、川贝母、白芍、薄荷脑。辅料为苯甲酸钠、蔗糖。【生产厂商】龙晖药业有限公司
盐酸格拉司琼注射液,http://img1.pharmnet.com.cn/suppliers/product_cn/643965_1.jpg,GRANISETRON HYDROCHLORIDE INJECTION,国药准字H20053853,3ml:3mg,用于放射治疗、细胞毒类药物化疗引起的恶心和呕吐。,本品主要成分为盐酸格拉司琼
土霉素片,http://img1.pharmnet.com.cn/suppliers/product_cn/1672437_1.jpg,Oxytetracycline　Tablets,国药准字H34021392,0.25g(25万单位),（1）立克次体病，包括流行性斑疹伤寒、地方性斑疹伤寒、洛矶山热、恙虫病和Q热。（2）支原体属感染。（3）衣原体属感染，包括鹦鹉热、性病、淋巴肉牙肿、非特异性尿道炎、输卵管炎、宫颈炎及沙眼。（4）回归热。（5）布鲁菌病。（6）霍乱。（7）兔热病。（8）鼠疫。（9）软下疳。治疗布鲁菌病和鼠疫时需与氨基糖苷类联合应用。,【成份】本品的主要成份为土霉素。【性状】本品为淡黄色片。
消炎止痢灵片,http://img1.pharmnet.com.cn/suppliers/product_cn/1674407_1.JPG,,国药准字Z23022049,12t*2板/盒*300盒/件,清热燥湿，抗菌消炎。用于菌痢，胃肠炎等。,【商标/商品名】消炎止痢灵片【批准文号】国药准字Z23022049【产品类型】中药产品-消炎药【剂型】片剂【规格】12t*2板/盒*300盒/件【成份】苦参，甲氧苄氨嘧啶【生产厂商】龙晖药业有限公司
乙酰螺旋霉素片,http://img1.pharmnet.com.cn/suppliers/product_cn/1674406_1.JPG,,国药准字H23022368,O.1g(10万单位),"适用于敏感葡萄球菌、链球菌属和肺炎链球菌所致的轻、中度感染，如咽炎、扁桃体炎、鼻窦炎、中耳炎、牙周炎、急性支气管炎、慢性支气管炎急性发作、肺炎、非淋菌性尿道炎、皮肤软组织感染，亦可用于隐孢子虫病,或作为治疗妊娠期妇女弓形体病的选用药物。",【商标/商品名】乙酰螺旋霉素片【批准文号】国药准字H23022368【产品类型】西药产品-消炎药【剂型】片剂【规格】O.1g(10万单位)【成份】本品为单乙酰螺旋霉素Ⅱ、单乙酰螺旋霉素Ⅲ、双乙酰螺旋霉素Ⅱ和双乙酰螺旋霉素Ⅲ四个组分为主的混合物。【生产厂商】龙晖药业有限公司
消咳喘糖浆,http://img1.pharmnet.com.cn/suppliers/product_cn/1674409_1.JPG,,国药准字Z23021185,每瓶装100ml,止咳，祛痰，平喘。用于寒痰阻肺所致的咳嗽气喘、咯痰色白；慢性支气管炎见上述证候者。,【商标/商品名】消咳喘糖浆【批准文号】国药准字Z23021185【产品类型】中药产品-止咳化痰【剂型】糖浆剂【规格】每瓶装100ml【成份】满山红【生产厂商】龙晖药业有限公司
伤科跌打片(48片),http://img1.pharmnet.com.cn/suppliers/product_cn/1672452_1.jpg,,国药准字Z20093218,12片*4板,活血散瘀、消肿止痛。用于跌打损伤，伤筋动骨，瘀血肿痛，闪腰岔气。,【通用名】伤科跌打片【拼音名】ShangkeDiedaPian【主要成份】制川乌、三棱（制）、莪术（制）、青皮、香附（醋制）、当归、三七、续断、牡丹皮、蒲黄、防风、延胡索（醋制）、五灵脂（制）、红花、郁金、白芍（炒）、木香、乌药、柴胡、枳壳（炒）、大黄（制）、地黄。【性状】本品为褐色的片；味苦、辛。【规格】12片/板，2板/盒;3板/盒;4板/盒【适应症】活血散瘀、消肿止痛。用于跌打损伤，伤筋动骨，瘀血肿痛，闪腰岔气。【用法用量】口服，一次4片，一日2次。【有效期】24个月【执行标准】标准中药成方制剂第五册WS3-B-0925-91【批准文号】国药准字Z20093218【生产企业】安徽永生堂药业有限责任公司
伤科跌打片(36片),http://img1.pharmnet.com.cn/suppliers/product_cn/1672451_1.jpg,,国药准字Z20093218,12片*3板,活血散瘀、消肿止痛。用于跌打损伤，伤筋动骨，瘀血肿痛，闪腰岔气。,【通用名】伤科跌打片【拼音名】ShangkeDiedaPian【主要成份】制川乌、三棱（制）、莪术（制）、青皮、香附（醋制）、当归、三七、续断、牡丹皮、蒲黄、防风、延胡索（醋制）、五灵脂（制）、红花、郁金、白芍（炒）、木香、乌药、柴胡、枳壳（炒）、大黄（制）、地黄。【性状】本品为褐色的片；味苦、辛。【规格】12片/板，2板/盒;3板/盒;4板/盒【适应症】活血散瘀、消肿止痛。用于跌打损伤，伤筋动骨，瘀血肿痛，闪腰岔气。【用法用量】口服，一次4片，一日2次。【有效期】24个月【执行标准】标准中药成方制剂第五册WS3-B-0925-91【批准文号】国药准字Z20093218【生产企业】安徽永生堂药业有限责任公司
川贝枇杷糖浆,http://img1.pharmnet.com.cn/suppliers/product_cn/1674412_1.JPG,,国药准字Z23021179,每瓶装100毫升,清热宣肺，化痰止咳。用于风热犯肺，痰热内阻所致的咳嗽痰黄或咯痰不爽、咽喉肿痛、胸闷胀痛；感冒、支气管炎见上述证候者,【商标/商品名】川贝枇杷糖浆【批准文号】国药准字Z23021179【产品类型】中药产品-清热宣肺，化痰止咳【剂型】糖浆剂【规格】每瓶装100毫升【成份】川贝母流浸膏、桔梗、枇杷叶、薄荷脑。辅料为蔗糖、苯甲酸钠。【生产厂商】龙晖药业有限公司
吗替麦考酚酯分散片,http://img1.pharmnet.com.cn/suppliers/product_cn/1678124_1.jpg,,国药准字H20080318,250mg*40片,移值科用药。,用于预防急性器官排异反应和治疗同种异体肾移植后难治性排异反应
降糖通脉片,http://img1.pharmnet.com.cn/suppliers/product_cn/1678121_1.jpg,,国药准字Z20080548,0.42g,降血糖，改善糖尿病引起的并发症。降血脂，改善微循环。,益气养阴，活血化瘀，通经活络。成分：太子参，黄芪，黄精，天冬，麦冬，玄参，天花粉，苍术，知母，葛根，黄莲，丹参，益母草，赤芍，水蛭，川牛膝，鸡血藤，威灵仙，荔枝核，地龙，川芎共21味中药。
环孢素软胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1678120_1.jpg,,国药准字H20055400,25mg*25s，50mg*25s,移植科用药,医院移植科用药
复言乌鸡胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1678123_1.jpg,,国药准字Z19991088,0.25g*20s/40s,补气血、益肝肾。主治妇科病“气血两虚或肝肾两虚的月经量少、后错、脾虚叵肾虚带下。,主要成份：乌鸡、黄芪、山药、党参、白术、茯苓当归、川芎、熟地黄、白芍、牡丹皮、五味子等多味中药。
马来酸氨氯地平分散片,http://img1.pharmnet.com.cn/suppliers/product_cn/1678126_1.jpg,,国药准字H20080295,5mg*7片,高血压病慢性稳定性心绞痛及变异型心绞痛。,高血压病。可单独使用本品治疗也可与其它抗高血压药物合用慢性稳定性心绞痛及变异型心绞痛。可单独使用本品治疗也可与其它抗心绞痛药物合用。
根痛平胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1678122_1.jpg,,国药准字Z20080356,60粒/盒,活血，通络，止痛。用于风寒阴络所致颈、腰椎病，症见肩颈疼痛、活动受限、上肢麻木。,主要成份：白芍、葛根、桃仁（火单）、红花、乳香（醋炙）、没药（醋炙）、续断、狗脊（烫）、伸筋草、牛膝、地黄、甘草。多味中药入药。
格列喹酮分散片,http://img1.pharmnet.com.cn/suppliers/product_cn/1678127_1.jpg,Gliquidone Dispersible Tablets,国药准字H20080726,30mg*24片,2型糖尿病,2型糖尿病
罗通定片,http://img1.pharmnet.com.cn/suppliers/product_cn/1688885_1.jpg,Rotundine Tablets,国药准字H51021228,30mg*100s,用于头痛、月经痛以及助眠等。,成分：本品每片含罗通定30毫克。辅料为淀粉、糊精、硬脂酸镁。（生产厂家：四川康福来药业集团有限公司）
血塞通片,http://img1.pharmnet.com.cn/suppliers/product_cn/1688893_1.jpg,,国药准字Z20093021,20片*1板/盒,活血祛瘀，通脉活络，抑制血小板聚集和增加脑血流量。用于脑络瘀阻，中风偏瘫，心脉瘀阻，胸痹心痛；脑血管病后遗症，冠心病心绞痛属上迷证候者。,成份：三七总皂苷。生产厂家：云南金泰得三七产业股份有限公司。用法用量：口服。一次1-2片，一日3次。
熊胆粉,http://img1.pharmnet.com.cn/suppliers/product_cn/1688892_1.jpg,,国药准字Z19991016,2克*1瓶/盒,清热，平肝，明目。用于惊风抽搐，外治赤目肿痛，咽喉肿痛。,性状：本品为不规则碎片、颗粒或粉末，黄色至深棕色，有的呈深绿色或淡红色，半透明，有玻璃样光泽，质脆，易吸潮，气清香微腥，味极苦微回甜，有清凉感。
参龟补肾口服液,http://img1.pharmnet.com.cn/suppliers/product_cn/1674414_1.JPG,,国药准字B20020697,每瓶装10ml,补肾健脾，生精益髓。对儿童智力低下者有一定的改善症状作用,【商标/商品名】参龟补肾口服液【批准文号】国药准字B20020697【产品类型】中药产品-补肾健脾，生精益髓【剂型】口服液【规格】每瓶装10ml【成份】人参、益智仁、青皮、龟甲、枸杞子、薄荷。【生产厂商】龙晖药业有限公司
复方鱼腥草片,http://img1.pharmnet.com.cn/suppliers/product_cn/1688882_1.jpg,,国药准字Z44021870,48片,功能主治：清热解毒，用于外感风热所至的急喉痹，急乳蛾，症见咽部红肿，咽痛，急性咽炎，急性扁桃体炎，见上述症候者。,成份：鱼腥草、黄苓、板蓝根、连翘、金银花，辅料为淀粉、糊精。（生产厂家：广东省惠州市中药厂有限公司）
昆明山海棠片,http://img1.pharmnet.com.cn/suppliers/product_cn/1688884_1.jpg,,国药准字Z53021643,0.25g*100s,功能主治：袪风除湿，舒筋活络，清热解毒。用于类风湿性关节炎，红斑狼疮。,成分：昆明山海棠。（生产厂家：云南省玉溪望子隆生物制药有限公司）
齐墩果酸片,http://img1.pharmnet.com.cn/suppliers/product_cn/1688886_1.jpg,Tabellae Acidi Oleanolici,国药准字H51020805,20mg*100s,功能主治：用于急慢性肝炎的辅助治疗。,成份：本品每片含齐墩果酸20毫克。辅料为：淀粉、硬脂酸镁、聚乙二醇6000、十二烷基硫酸钠。（生产厂家：四川康福来药业集团有限公司）
紫雪,http://img1.pharmnet.com.cn/suppliers/product_cn/1688881_1.jpg,,国药准字Z45020536,1.5g*10瓶,功能主治：清热开窍，止痉安神。用于热入心包，热动肝风证，症见高热烦燥，神昏谵语，惊风抽搐，斑疹吐衄，尿赤便秘。,成份：石膏、北寒水石、滑石、磁石、玄参、木香、沉香、升麻、甘草、丁香、芒硝（制）、吸水石（精制）、水牛角浓缩粉、羚羊角、人工麝香、朱砂。（生产厂家：广西芳菲药业有限公司）
感冒清热颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/1688883_1.jpg,,国药准字Z53021356,12g*10袋,功能主治：疏风散寒，解表清热。用于风寒感冒，头痛发絷，恶寒身痛，鼻流清涕，咳嗽咽干。,成份：荆芥穗、薄荷、防风、柴胡、紫苏叶、葛根、桔梗、苦杏仁、白芷、苦地丁、芦根。辅料为蔗糖、糊精。（生产厂家：西双版纳版纳药业有限公司）
复方门冬维甘滴眼液,http://img1.pharmnet.com.cn/suppliers/product_cn/1688880_1.jpg,"Compound Aspartate, Vitamin B6 and Dipotassium Gly",国药准字H20084001,10ml,用于抗眼疲劳，减轻结膜充血症状。,成份：本品为复方制剂，每10毫升含门冬氨酸78毫克、维生素B65毫克、甘草酸二钾10毫克、盐酸萘甲唑林0.3毫克、甲基硫酸新斯的明0.5毫克、马来酸氯苯那敏1毫克。辅料为：薄荷脑、樟脑、苯扎氯铵、吐温度80、氯酸钾、乙二胺四乙酸二钠。（生产厂家：河北医科大学制药厂）
注射用醋酸奥曲肽,http://img1.pharmnet.com.cn/suppliers/product_cn/1678131_1.jpg,Octreotide Acetate for Injection,国药准字H20052374,0.1mg,肝硬化所致食道-胃静脉曲张出血的紧急治疗预防胰腺术后并发症,肝硬化所致食道-胃静脉曲张出血的紧急治疗预防胰腺术后并发症
盐酸非索非那定片,http://img1.pharmnet.com.cn/suppliers/product_cn/1678129_1.jpg,Fexofenadine Hydrochloride Tablets,国药准字H20070124,60mg*12片/盒,季节性过敏性鼻炎，慢性特发性荨麻疹,季节性过敏性鼻炎，慢性特发性荨麻疹
脑络通胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1688879_1.gif,,国药准字Z20063147,0.5g*12粒/板*3板,补气活血，通经活络。具有扩张血管，增加脑血流量作用。用于脑血栓、脑动脉硬化、中风后遗症等各种脑血管疾病属气虚血瘀证引起的头痛、眩晕、半身不遂、肢体发麻、神疲乏力等症。,成份：丹参浸膏、川芎浸膏、黄芪浸膏、甲基橙皮苷、盐酸托哌酮、维生素b6。用法用量：口服，一次1～2粒，一日3次。（生产厂家：广东康尔丹制药有限公司）
喉痛灵片,http://img1.pharmnet.com.cn/suppliers/product_cn/1688878_1.gif,,国药准字Z20055039,0.22g*12片/板*2板,清热，解毒，消炎，清咽喉。用于咽喉炎，感冒发热，上呼吸道炎。,成份：南板蓝根、野菊花、水牛角浓缩粉、荆芥穗。辅料为淀粉、糊精。用法用量：口服，一次4～6片，一日3～4次。（生产厂家：广东康尔丹制药有限公司）
盐酸环丙沙星可溶性粉,http://img1.pharmnet.com.cn/suppliers/product_cn/007/1724007_1.JPG,,兽药字（2007）160762159,100G/袋*5袋/桶*12桶/箱,大肠杆菌、阿奇霉素、微囊宝贝干扰素、抗菌肽、分子骨架控释剂。,暂无数据
清瘟败毒散,http://img1.pharmnet.com.cn/suppliers/product_cn/006/1724006_1.JPG,,兽药字（2007）160765165,暂无数据,暂无数据,暂无数据
清肺散,http://img1.pharmnet.com.cn/suppliers/product_cn/002/1724002_1.JPG,,兽药字（2007）160765158,暂无数据,暂无数据,暂无数据
安乃近,http://img1.pharmnet.com.cn/suppliers/product_cn/013/1724013_1.jpg,dipyrone,兽药字（2007）160762118,含量：≥99%,有毒，镇痛，抗风湿作用。主要用于退烧，也用于急性关节炎，风湿性痛，肌肉痛，头痛。,有毒，镇痛，抗风湿作用。主要用于退烧，也用于急性关节炎，风湿性痛，肌肉痛，头痛。
琥珀酸舒马普坦片,http://img1.pharmnet.com.cn/suppliers/product_cn/1725818_1.jpg,,国药准字H20030086,25mg,用于成人有先或无先兆偏头痛的急性发作。,上市专门治疗急性偏头痛发作药物高度选择性激动SHT1B/1D受体疗效更确切，病人更安全
依达拉奉注射液,http://img1.pharmnet.com.cn/suppliers/product_cn/1725819_1.jpg,,国药准字H20051992    国药准字H20070051,20ml∶30mg      10ml:15mg,急性脑梗塞和脑水肿，改善中风后神经系统功能，减轻症状，增强活动能力。,国家医保品种、二类新药、独家规格、多科室应用。市场潜力广阔，中标价格高，操作空间大，公司提供重点样板医院及区域学术支持。
牛黄降压胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1726412_1.jpg,,国药准字Z13022332,12粒*1板,清心化痰，镇静降压。用于肝火旺盛，头晕目眩，烦躁不安，痰火壅盛，高血压症。,
木瓜片,http://img1.pharmnet.com.cn/suppliers/product_cn/1726408_1.jpg,,国药准字Z20063733,12片*1板,散风祛湿，活络止痛。用于风寒湿痹，四肢麻木，周身疼痛，腰膝无力，步履艰难。,
金莲花胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1726413_1.jpg,,国药准字Z20063703,0.35g×12粒×1板,抗菌消炎。用于上呼吸道感染，咽炎，扁桃体炎。,。。。
穿心莲片,http://img1.pharmnet.com.cn/suppliers/product_cn/1726414_1.jpg,,国药准字Z20093725,12片×2板,清热解毒，凉血消肿。用于感冒发热，咽喉肿痛，口舌生疮，顿咳劳嗽，泄泻痢疾，热淋涩痛，痈肿疮疡，毒蛇咬伤。,
感冒清热片,http://img1.pharmnet.com.cn/suppliers/product_cn/1726410_1.jpg,,国药准字Z20090771,12片*2板,疏风散寒、解表清热。用于风寒感冒，头痛发热，恶寒身痛，鼻流清涕，咳嗽咽干。,
三黄片,http://img1.pharmnet.com.cn/suppliers/product_cn/1726415_1.jpg,,国药准字Z20093195,20片×5板/盒,功能主治清热解毒，泻火通便。用于三焦热盛所致的目赤肿痛、口鼻生疮、咽喉肿痛、牙龈肿痛、心烦口渴、尿黄便秘,
糖维胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1726411_1.jpg,,国药准字Z20010173,20粒*2板,益气养阴，化瘀清热。用于气阴两虚夹瘀所致消渴，症见倦怠乏力，自汗，口渴喜饮，心烦，溲赤，舌暗或有瘀斑，舌干少津，苔薄或花剥，脉细数；II型糖尿病见上述症候者。,
心神安胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1726409_1.jpg,,国药准字B20020712 （百善唐威(沧州)药业有限公司）,20粒*2板,健脾益气，养心安神。用于心脾两虚证，症见倦怠乏力，神疲健忘，心慌，失眠多梦。,
风寒感冒颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/1726506_1.jpg,,国药准字Z36021484,每袋装8克,解表发汗，疏风散寒。用于风寒感冒，发热，头痛，恶寒，无汗，咳嗽，鼻塞，流清涕。,甲类风寒感冒颗粒说明书请仔细阅读说明书并按说明使用或在药师指导下购买和使用。【药品名称】通用名称：风寒感冒颗粒汉语拼音：FenghanGanmaoKeli【成份】麻黄、葛根、紫苏叶、防风、桂枝、白芷、陈皮、苦杏仁、桔梗、甘草、干姜。辅料为蔗糖、糊精。【性状】本品为棕褐色颗粒；气芳香，味香、微苦。【功能主治】解表发汗，疏风散寒。用于风寒感冒，发热，头痛，恶寒，无汗，咳嗽，鼻塞，流清涕。【规格】每袋装8克【用法用量】口服。一次1袋，一日3次。【注意事项】1.忌烟、酒及辛辣、生冷、油腻食物。2.不宜在服药期间同时服用滋补性中成药。3.风热感冒者不适用，其表现为发热重，微恶风，有汗，口渴，鼻流浊涕，咽喉红肿热痛，咳吐黄痰。4.糖尿病患者及有高血压、心脏病、肝病、肾病等慢性病严重者、孕妇或正在接受其它治疗的患者，均应在医师指导下服用。5.服药三天后症状无改善，或出现发热咳嗽加重，并有其他严重症状如胸闷、心悸时应去医院就诊。6.按照用法用量服用，小儿、年老体虚者应在医师指导下服用。7.对本品过敏者禁用，过敏体质者慎用。8.本品性状发生改变时禁止使用。9.儿童必须在成人监护下使用。10.请将本品放在儿童不能接触的地方。11.如正在使用其他药品，使用本品前请咨询医师或药师。【药物相互作用】如与其他药物同时使用可能会发生药物相互作用，详情请咨询医师或药师。【贮藏】密闭，防潮。【包装】复合膜袋每盒装10袋。【有效期】24个月。【执行标准】部颁标准中药成方制剂第一册WS-B-0045-89【批准文号】国药准字Z36021484【生产企业】江西南昌桑海制药厂
安尔眠糖浆,http://img1.pharmnet.com.cn/suppliers/product_cn/1726502_1.jpg,,国药准字Z36021492,每支装10毫升,安神。用于神经衰弱和失眠。,【药品名称】通用名称：安尔眠糖浆汉语拼音：An’ermianTangjiang【成份】丹参（切片）、首乌藤、大枣。辅料为蔗糖、糖精钠、苯甲酸钠、香草香精。【性状】本品为深褐色的液体；味甜、苦，微涩。【功能主治】安神。用于神经衰弱和失眠。【规格】每支装10毫升【用法用量】口服。一次10～15毫升，一日3次。【药物相互作用】如与其他药物同时使用可能会发生药物相互作用，详情请咨询医师或药师。【贮藏】密封，置阴凉（不超过20℃）处。【包装】玻璃瓶每盒装10支。【有效期】24个月。【执行标准】部颁标准中药成方制剂第九册WS3-B-1740-94【批准文号】国药准字Z36021492【生产企业】江西南昌桑海制药厂
